Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Neural processor (NPU),Total score,RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,Flash,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,LTE Cat*,Proximity sensor,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan,Speakers,Launch price category
5,1541246,371084,600732,299004,270462,5,6.8,1440,3088,500,120,1,850,1,240,163.4,78.1,8.9,233.0,8,2,2,1,8,3,1,1541246,8,5,4,256,7,0,5000,45,1,1,200,0,1,2,2,3,2.2,3.24,1.12,12.0,1,1,0,0,1,2,568,4,2,1,1,1,1,20,1,1,1,1,1,1,0,1,0,1.0,3.0
5,537067,173403,112518,112340,138806,3,6.7,1080,2408,394,120,0,400,0,120,164.7,77.0,7.4,176.0,0,1,1,2,2,3,1,537067,6,3,2,128,3,1,5000,25,0,0,108,0,1,0,1,2,2.2,4.0,1.12,32.0,0,1,0,1,1,1,874,4,1,1,1,0,0,20,1,1,1,0,0,0,0,0,1,0.0,1.0
2,953440,252004,295658,177263,228515,0,6.67,1080,2400,395,120,0,500,1,480,164.1,76.9,8.8,204.0,3,2,2,2,4,2,1,953440,8,4,4,128,6,0,5000,120,0,0,108,0,2,2,2,2,2.5,3.06,1.0,16.0,0,1,0,0,1,2,1086,2,2,1,1,1,0,18,1,1,1,1,0,0,0,0,1,1.0,2.0
14,317925,111183,39950,82903,83889,3,6.4,1080,2400,411,90,0,430,0,360,160.2,73.3,7.99,178.0,4,1,1,1,0,3,1,317925,6,3,2,128,4,1,5000,33,0,0,108,0,1,0,0,1,2.1,3.13,1.0,16.0,0,0,1,0,1,1,874,2,1,1,1,0,0,20,1,1,1,0,0,0,0,0,1,0.0,1.0
0,515609,166403,88444,128743,132019,8,6.78,1080,2460,388,120,0,500,0,240,168.73,76.53,8.77,199.0,0,1,1,2,2,3,1,515609,8,4,2,128,6,1,5000,33,0,0,48,1,4,0,1,2,2.0,2.76,1.12,16.0,0,1,1,1,1,1,905,2,1,1,1,0,0,18,1,1,1,0,0,0,0,0,1,0.0,1.0
0,464375,141916,81456,110037,130966,0,6.78,1080,2436,393,120,0,1300,0,360,164.35,74.6,7.75,196.0,3,1,1,1,0,3,1,464375,12,3,2,256,4,1,4600,100,1,1,108,0,2,0,0,2,2.2,3.1,0.8,32.0,0,0,0,1,0,1,174,2,2,1,1,0,0,20,1,1,1,0,0,0,0,0,1,1.0,1.0
6,1245923,358243,476755,174663,236262,3,6.74,1240,2772,451,120,1,500,1,360,163.34,74.43,8.7,204.0,0,2,1,1,6,3,1,1245923,8,5,4,128,6,0,5000,100,0,0,50,0,1,0,2,2,2.4,3.09,1.0,16.0,0,1,0,0,1,2,568,2,1,1,1,0,0,18,1,1,1,0,0,0,0,1,0,1.0,1.0
2,454863,146064,100468,93251,115080,0,6.57,1080,2400,401,60,0,600,1,120,163.7,74.8,7.9,192.0,0,2,1,1,0,2,1,454863,6,3,2,128,3,0,4160,20,0,0,48,0,2,0,1,2,2.5,5.0,1.0,16.0,0,1,1,1,0,1,1513,2,1,1,1,0,0,20,1,1,1,0,0,0,0,0,1,0.0,1.0
5,737495,208809,204264,140912,183510,5,7.6,1768,2208,373,120,1,700,1,120,159.2,128.2,6.9,279.0,0,2,2,2,4,3,1,737495,12,4,4,256,6,0,4500,25,1,1,12,1,2,0,2,2,2.2,3.2,1.22,10.0,1,1,0,0,1,2,1451,4,1,1,1,1,1,20,1,1,1,1,1,1,0,0,1,1.0,3.0
3,1302183,340105,482159,225387,254532,1,6.67,1080,2400,394,144,0,600,1,360,161.76,73.5,8.39,198.5,2,2,2,1,6,3,1,1302183,8,4,4,128,6,0,4610,125,1,1,200,1,2,2,2,2,2.2,2.8,0.61,60.0,0,1,0,0,1,2,721,4,1,1,1,1,0,20,1,1,1,0,0,0,0,1,0,1.0,2.0
