Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Laser autofocus,Autofocus_Phase autofocus,Autofocus_Phase autofocus (Dual Pixel),Speakers_Mono,Speakers_Stereo,Bundled charger,LTE Cat*,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
0,726530,190308,208291,155891,172040,0,6.78,1080,2400,388,144,0,950,0,360,0,164.5,75,7.9,185,0,0,0,0,0,0,6,1,726530,8,3,2,256,6,0,5000,68,0,0,0,0,1,51,108,0,1,2,0,2,2,2.5,2.76,1.12,50,0,2,0,2,0,0,0,1,0,1,0,1,356,1,4,2,1,1,0,0,1,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
1,1152535,378836,371060,185462,217177,1,6.7,1344,2992,489,120,1,2400,1,60,1,162.6,76.5,8.8,213,1,1,1,0,1,1,4,1,1152535,12,5,4,128,6,0,5050,30,0,0,1,1,1,83,50,0,2,2,0,2,2,2.2,3.1,1.22,10.5,0,2,0,1,0,1,0,1,0,0,0,2,326,3,4,2,1,1,1,0,1,0,0,1,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
2,419572,135496,64653,110036,109387,2,6.58,1080,2408,401,90,0,500,0,240,2,163.99,76.09,8.9,201,2,0,0,1,1,0,6,1,419572,4,3,2,64,4,1,5000,18,0,0,0,0,1,139,50,0,1,2,0,0,1,2.2,5,0.64,5,0,1,1,2,0,0,0,0,1,1,0,1,721,0,2,1,1,1,0,0,0,0,1,0,1,13,1,0,1,1,1,1,0,0,0,0,0,0,1
2,785177,217516,233355,144938,199368,0,6.67,1080,2400,395,120,0,800,1,480,0,164.1,76.9,8.8,203,0,1,1,1,0,0,6,1,785177,8,3,2,128,6,0,5000,67,0,0,0,0,1,41,108,0,2,2,0,1,2,2.5,3.06,1,16,0,2,1,2,0,0,0,1,0,0,1,2,1056,1,2,1,1,1,1,0,0,0,0,1,0,18,1,1,1,1,1,1,1,0,0,0,0,1,0
2,716770,209297,208395,135875,163203,0,6.67,1080,2340,386,90,0,800,1,180,0,162.6,74.8,9,208,3,1,1,0,2,0,7,1,716770,8,4,2,128,5,0,4500,50,1,0,1,1,1,75,108,1,1,2,2,2,4,2,3,0.9,20,0,2,1,1,0,0,0,1,0,0,0,2,1635,3,2,1,1,1,1,0,0,0,0,1,0,22,1,1,1,1,1,1,1,1,1,0,0,0,1
2,1578468,388208,601455,302697,286108,0,6.67,1440,3200,526,120,1,4000,1,480,0,160.86,74.95,8.21,209,3,1,1,0,0,0,4,1,1578468,12,5,4,256,7,0,5000,120,0,0,0,0,1,27,50,0,1,2,1,2,2,2.4,3.06,1,16,0,2,1,2,0,0,0,1,0,0,1,2,265,1,2,2,1,1,0,0,0,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
3,471522,155892,78906,106020,130704,2,6.7,1080,2400,393,120,0,550,0,60,2,167.2,76.4,8.5,201,4,0,0,1,1,0,6,1,471522,8,3,2,128,6,1,5000,30,0,0,1,0,1,80,50,0,1,2,0,0,1,2.4,3.003953901,1,16,0,2,0,1,0,1,0,1,1,0,1,1,174,1,2,1,1,1,0,0,0,0,0,1,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
4,994058,272156,287990,211425,222487,1,6.73,1224,2688,439,120,1,600,1,60,0,161.4,75.5,7.8,191,3,1,1,0,0,0,4,1,994058,8,4,4,256,7,0,5100,66,0,0,0,1,1,48,54,1,2,2,0,2,2,2,2.5,0.9680385288966724,12,0,2,1,2,0,0,0,1,0,0,1,2,540,3,4,2,1,1,0,0,1,0,0,1,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
5,305563,99296,66939,71542,67786,3,5.1,1440,2560,576,60,0,539,0,60,3,142.4,69.6,7.9,152,1,1,1,1,1,1,14,0,305563,4,2,2,32,2,1,3000,15,1,0,1,0,1,100,12,0,1,2,0,1,2,1.7,4.1,1.34,5,0,2,0,2,0,0,1,0,1,0,0,2,3096,2,2,1,0,1,0,0,0,0,1,0,0,9,1,1,1,1,1,1,1,0,0,0,0,0,1
6,937505,248662,308723,169685,210435,0,6.55,1080,2400,402,120,1,500,1,60,0,160,74.2,8.7,192,3,1,0,0,2,1,5,1,937505,8,4,4,128,6,0,4500,65,0,0,1,0,1,29,48,0,2,2,2,3,2,2,3.06,1,16,0,2,0,2,0,0,0,1,0,0,1,2,1270,2,2,1,1,1,1,0,1,0,0,1,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
