,Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,Flash,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,LTE Cat*,Proximity sensor,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
Brand,1.0,0.13161472073514746,0.140805427826544,0.11219012213328197,0.15584246956917264,0.13120596571845383,-0.14139840807205048,0.12809179935354567,0.01940750630716525,0.0343691045082239,-0.0016013985512556687,0.13574495882766574,0.06906205630056643,0.10020988979599058,0.04461070865645491,-0.18211863881599932,0.14644713223375697,-0.01148822722470509,0.06346487170380907,0.0922306365608258,0.19869505201915721,0.003476101560203723,0.03331014521600271,-0.222297120651385,0.02604640003901562,-0.04962394645081708,-0.07122603706932375,0.017138064032650033,0.15046903660854033,0.09092517663298741,0.10289992150118772,0.1715658365247162,0.11792872025723346,0.016877539274837296,0.15559854415122265,0.1924052922746993,-0.08572609520855977,0.08939399150850484,-0.07806703105286841,0.09032319112544386,-0.09643742789654668,0.018791762076139827,0.0658779326252031,-0.004659398588847649,0.10598544599003303,-0.03525529832180414,-0.09782429925645368,0.15228641871647663,-0.1821363646351174,0.0700356819505582,-0.06778983654012695,-0.20850882838063714,-0.08769185943413967,0.03515758313395638,-0.18181601861066948,0.08208415132622743,0.021224031064306863,-0.14453602414838876,0.021743231558792663,0.006652809247697867,-0.0691974937787675,0.006901108015905182,0.0653894985410244,0.1166726144890589,-0.007541061580860124,-0.04508772460507261,-0.176063438684156,-0.023037778568496255,-0.023037778568496255,0.045296936209813565,0.15184262456282852,-0.1611523313879335
Total Score,0.13161472073514746,1.0,0.9824039480320802,0.9881498961223227,0.976426873312281,0.9762221181905797,-0.3257801042299367,0.3247885292435399,0.5343787719475201,0.5418742826176354,0.4916051291711764,0.603427110664353,0.6160673183008927,0.6273693810552611,0.6158596687174591,-0.6280260389623887,-0.06470868627948838,0.14206528273032623,-0.007114252905803065,0.42098769614684556,0.10218247424031086,0.46677811155490445,0.5679273265118834,-0.5306818321002361,0.12483157888255189,-0.1518139257728433,-0.6401974178583846,0.3298163677873085,0.7677359014706807,0.8683279396894946,0.8202038515822585,0.6070182712923633,0.8195347701658132,-0.5964998257412194,0.17939523240491598,0.6708744866727835,0.4362785035598853,0.40268439580422405,0.0796317388742348,0.29814310638220903,0.07542087900104703,0.6094212802733036,0.7664260710740223,0.42116577948735123,0.19125273850844834,-0.1454703469862817,-0.09030940587464789,0.29022475217752175,0.25078801707170717,0.5545489165832351,-0.5521813734240683,-0.500101818239556,0.3084918855894556,0.6864594333210009,-0.37583988868568047,0.627027375213572,0.397499995433766,0.42800642324891597,0.16473722307955296,0.271932931822325,0.3270291143867658,0.2775413380706938,0.5616418193715368,0.1776775349737595,0.3738451363003857,0.28696652392586486,0.16415130905268302,0.1441113782892838,0.1441113782892838,0.25140687577269816,0.6763596244958111,-0.7307666885764893
CPU,0.140805427826544,0.9824039480320802,1.0,0.9502600817531703,0.9494614907683495,0.9782891735676441,-0.3394349271799967,0.32363232756859134,0.5483352823238032,0.573547643113392,0.5222881654151259,0.646543226360846,0.6318973922546102,0.6049882487758692,0.6521623456142109,-0.6670096840299466,-0.0703530617492487,0.12138412402585404,-0.021646162401524723,0.40073245327983437,0.09557814080052299,0.48676566368785623,0.5669291508688813,-0.5733043731164789,0.09796133440642268,-0.12952660605776556,-0.6961122813056684,0.3795971912179473,0.7771752716761805,0.8657053374822993,0.8323460044633827,0.6106879933450309,0.8537478631403136,-0.6096110989383076,0.16648158871133314,0.6824692230018595,0.4353309324321438,0.39902517903694223,0.10905799968252573,0.2877546122429344,0.08408149643507941,0.5758456653699928,0.7868970600767095,0.45415777182622713,0.23301439857434716,-0.15986485467937853,-0.08995348809349706,0.3176444548059019,0.2720929150690719,0.6063495137520434,-0.5972911484040986,-0.540188230299474,0.3141774144774278,0.7045095221944034,-0.3891183539063849,0.6286834961349043,0.4244289561273813,0.43569200701637584,0.19020331062581455,0.305522073223246,0.33062798719853853,0.2749482900899075,0.6183942055178937,0.17411018438049683,0.41584476246607344,0.32674091655142845,0.1784286692905686,0.15599373696312588,0.15599373696312588,0.22221147150627463,0.6770629664387311,-0.7238486259271111
GPU,0.11219012213328197,0.9881498961223227,0.9502600817531703,1.0,0.9532806993244543,0.9410838782846138,-0.2893475219866035,0.2906660476515076,0.5049696288832384,0.4971735791384744,0.45580754782775273,0.5345255947691634,0.5843696073647047,0.6149669285836619,0.5815770432884063,-0.567196367812631,-0.08148917124951739,0.14865477572854383,0.014178374802783517,0.41607353963190485,0.10139120825848588,0.4392473420207456,0.5700334533013373,-0.46930116508937836,0.14952790307161,-0.15791840798843249,-0.5710736785831763,0.2713704663472706,0.720128700717952,0.8454904734337089,0.7946462348822502,0.5521650238168921,0.7578860006778309,-0.5620894108550321,0.1583457643585457,0.6243136143628754,0.44303475389901376,0.39547212581037683,0.03644013629775244,0.2992178046639913,0.053531553657586585,0.6222396362788717,0.7439615724597891,0.39164643076234396,0.14306321192999102,-0.12424799228638689,-0.07403832799423202,0.2500415659586107,0.24044618128898843,0.49009190789149737,-0.5032927517976595,-0.46167936572545304,0.293031643142644,0.6656289394145122,-0.3253531605544906,0.6172602590694892,0.37422719158629625,0.41439958180314823,0.13292718369786188,0.23273788929861855,0.3344207058339562,0.2675205221030385,0.49152226359789913,0.1799816938209017,0.32971555104428074,0.24033364489040318,0.1674367449394267,0.15128351978075327,0.15128351978075327,0.2602216191709059,0.6600475698653656,-0.7170204627822426
Memory,0.15584246956917264,0.976426873312281,0.9494614907683495,0.9532806993244543,1.0,0.9462741285436512,-0.33219643603500787,0.35787845433658594,0.5094342342395675,0.5194678704021072,0.4583592249609227,0.5986823807211191,0.613311029519726,0.6648655733098785,0.5569455446904102,-0.6194103382280863,-0.020962274469247637,0.14246625331578522,-0.025455523573431584,0.4197458616908742,0.11411425234886606,0.4511261327371245,0.5153955670161876,-0.5226257190733187,0.10938452313159952,-0.154884260347565,-0.6220488802293457,0.3146878772980402,0.7759497741300166,0.8476116208520159,0.7876026174691273,0.6527711759221592,0.8040020740702184,-0.5754439399540687,0.22438178385056792,0.6843929138204401,0.3915913963284435,0.3923759954155712,0.09445424202471733,0.2932126395453243,0.08391398362070117,0.5845699850842402,0.6980205714364337,0.37311020175428444,0.18780911388295138,-0.15180961404412197,-0.10911386851022979,0.30014948098671607,0.21368425163806057,0.5290571873549276,-0.5256046667082878,-0.4691395149836384,0.2809447688256006,0.62549533060759,-0.43563315805815594,0.5795680739950889,0.37479598824560256,0.4099717976146383,0.16115091377744456,0.25481000377059765,0.2575027215748432,0.27816488755167645,0.5350092996547756,0.16008274910761022,0.34308776537623725,0.27371038122005553,0.10691585753106597,0.09687957287586325,0.09687957287586325,0.24877482861065875,0.6660313757980026,-0.7199222380561299
UX,0.13120596571845383,0.9762221181905797,0.9782891735676441,0.9410838782846138,0.9462741285436512,1.0,-0.365681313048578,0.3454282213389804,0.5634388597446698,0.5895913068110453,0.533301181739226,0.6750022547576539,0.6175604492255222,0.582974270229181,0.6609757635464734,-0.6850459166754144,-0.05114738173662342,0.13009388491227458,-0.021645155346547863,0.4170377350389968,0.08781736868419297,0.4834189234467625,0.5622230188994539,-0.5950814002755183,0.09818427814917842,-0.14565853167277956,-0.7057527403027128,0.40433195280791634,0.7938563056291718,0.8647205073213438,0.8228904392743813,0.6343000366855933,0.8720530150556983,-0.6333406156888851,0.1864090104803744,0.6971830564813934,0.42311554822198494,0.3949586527186914,0.13376791558944431,0.2814770563647228,0.10711362464787923,0.5828651168350589,0.7948512116751678,0.46673397169570613,0.250598223935286,-0.16183202444949016,-0.10288085751356753,0.3210019329297707,0.2623644559143651,0.6303450703662851,-0.595348032429589,-0.5317589425864545,0.34137359831805336,0.7143175371835926,-0.3889789949628864,0.6345885434099224,0.4058581729830158,0.43063426188751025,0.20451365987697664,0.3243657796934054,0.3431459760833398,0.27837480923701796,0.6466460475588341,0.17698665592517943,0.4326621794018833,0.3451405897096459,0.18184938427632405,0.14627059637931927,0.14627059637931927,0.24424007574317458,0.6594726429435256,-0.7122893704184579
Type,-0.14139840807205048,-0.3257801042299367,-0.3394349271799967,-0.2893475219866035,-0.33219643603500787,-0.365681313048578,1.0,-0.13734051802216307,-0.2381639842266867,-0.3073485188571624,-0.27519369788105863,-0.2991570734480929,-0.14792095297473634,-0.24635418335709988,-0.30362684052515493,0.4729043765464061,0.006239808094448684,0.043150168577980756,0.08385315709064611,-0.03730793710358553,-0.01552863022818688,-0.22164641159471274,-0.14820456951969288,0.3842409717471939,0.059087209348638425,0.19073603444852139,0.30104847263847906,-0.28437274336857193,-0.3664426707076569,-0.288598230777772,-0.2800146206134027,-0.33604651837931887,-0.3774928774874385,0.31488302872698837,-0.11654750395563689,-0.4644813098602183,0.02972507676571208,-0.07391102671657196,-0.187021489526376,-0.07349575200707673,-0.1877938903999547,-0.06964672377197476,-0.28174805092047195,-0.22649441435971068,-0.23944345213686222,0.13583498798748656,0.1531273113823213,-0.306127349793094,0.10785327690299817,-0.21386031493421764,0.3059067389466966,0.16715794745494295,0.05251567491037354,-0.30083233974695867,0.18259272129716705,-0.1199875223053413,0.05928379149666389,-0.04740779950287295,-0.10442325715803391,-0.23196010919703575,-0.07505122579946608,-0.099367635749499,-0.28213481403040813,-0.11325413839031505,-0.2859196274344587,-0.22922065035105071,0.13702139123079318,0.2172136748291977,0.2172136748291977,-0.1081017356083694,-0.22173544704204648,0.24626596974441575
Display Size,0.12809179935354567,0.3247885292435399,0.32363232756859134,0.2906660476515076,0.35787845433658594,0.3454282213389804,-0.13734051802216307,1.0,0.40668151789751783,0.16292772452273602,-0.015215236115323936,0.44153498425723386,0.31947857051864836,0.23764344480675045,0.11822704901162483,-0.3238157952683533,0.5906090630903085,0.674729938913511,-0.25072854185071886,0.6796250661577667,0.17072059855463992,0.11874296880356583,0.05895120732355655,-0.29131729525132344,0.008773786767088591,-0.1708784637052906,-0.33073918788107476,0.21252308002991827,0.4534806236636421,0.37811357973244236,0.3176642558452192,0.4419845093031546,0.3528440214385897,-0.19398272471472702,0.5087899844803508,0.34044910561706,0.029897929645527316,0.1954643263287095,0.27395757643873975,0.10768435618363505,0.09039887457893037,0.16007621206203884,0.1604154428785541,0.03652513770099474,0.23369090405590187,-0.17103546644212753,-0.18671926087364615,0.18817865942169926,-0.005209995538371522,0.2737910341652945,-0.2573025917785434,-0.10955805317800349,0.03789426155262508,0.08662234574468806,-0.5093621017606011,0.2839117151749017,0.1782713646179826,0.15276639850700052,0.27288324659970237,0.11702478783148652,0.009256843796656875,0.05868075044530333,0.24588751819588628,-0.0034771036537308685,0.03422382791265491,0.06125953245320664,-0.12452505285544622,0.0009898129388333044,0.0009898129388333044,0.08167577677906201,0.2671766208782631,-0.2840718940681563
Pixels_X,0.01940750630716525,0.5343787719475201,0.5483352823238032,0.5049696288832384,0.5094342342395675,0.5634388597446698,-0.2381639842266867,0.40668151789751783,1.0,0.7857164043023559,0.8016902185956953,0.33547767242955745,0.44224670349650913,0.33981248745036924,0.5216686859636889,-0.43975368962838873,-0.16050716620973088,0.4860915897570799,-0.32445735251836655,0.3667050220270809,0.06971800256810774,0.39465636515313385,0.4704101740584808,-0.3710846878373192,0.016759966290766617,0.014725199474718738,-0.4978549678178674,0.3812031670504938,0.6173311235689939,0.5173140399754733,0.4685836237025989,0.4656465153866868,0.5729200769373188,-0.35095536026665264,-0.053975735940544625,0.37518892858522024,0.4479254509410393,0.3678446748151436,0.11440392651988741,0.3387295178250938,0.149639768812269,0.270759279334726,0.5876159078234728,0.45473903246158576,0.10340384201949623,-0.08312934120727065,-0.007815131537594342,0.22714135321048348,0.2501487941089743,0.33422322459228226,-0.4693591061323102,-0.38212336229339994,0.2552940463044964,0.626789788779142,-0.02319629028150071,0.7046650540982231,0.3926355376944942,0.30180397105327805,0.12792558543734367,0.375167206421303,0.41750276772490624,0.2904350246012377,0.5443847767599603,0.14832656537080754,0.45875119050805524,0.42156348712388564,0.32445010086359366,0.20348404610736778,0.20348404610736778,0.002510170216434473,0.3867596085587699,-0.38105369187501037
Pixels_Y,0.0343691045082239,0.5418742826176354,0.573547643113392,0.4971735791384744,0.5194678704021072,0.5895913068110453,-0.3073485188571624,0.16292772452273602,0.7857164043023559,1.0,0.965418376107529,0.38301582584032107,0.4118819403671356,0.36110955151541513,0.5496385550541298,-0.4910694853695108,-0.02512660541558852,-0.0747453860102444,-0.039252809477590106,0.17972240446094487,-0.060233563542051054,0.4244283165480609,0.443961321794995,-0.4992792502111823,0.008222946333395228,0.018642602857383936,-0.5495155753722023,0.445830611617924,0.583357348873758,0.5197591750479617,0.4461977150147167,0.45468469647685994,0.5983768315592337,-0.3723635098881108,-0.008262966701284161,0.46281679133829035,0.4193368676395799,0.3582929920322166,0.1848849129011834,0.2682636868731339,0.19261721910101695,0.26755207743056614,0.6007131606356247,0.48657259168598693,0.1618218746695361,-0.12229254920781155,-0.057491013895136535,0.3339743873649744,0.2050399485432975,0.37286442774093326,-0.4737014196183062,-0.3822626132920178,0.2835721245638698,0.6268587903696826,-0.04437827122186633,0.5454055776526022,0.3575859043042688,0.2724627280051174,0.1842754739830559,0.4150203740116957,0.34041756361360737,0.3045450629829884,0.5993866281815234,0.13416866334787936,0.48730084144588687,0.46203835619735256,0.2715605882246125,0.11637740687681655,0.11637740687681655,0.016670547301056285,0.371593332760612,-0.36982775246841487
