,Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Display features,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Lithography process (nm),Neural processor (NPU),Total score,RAM size (GB),Memory type,Memory clock,Channels,Storage size (GB),Storage type,Memory card,OS suppoert (years),Battery capacity (mAh),Max charge power,Battery type,Battery replaceability,Wireless charging,Reverse charging,Fast charging,Full charging time (min),Web browsing (min),Watching video (min),Gaming (min),Standby (hr),Matrix (megapixels),Zoom,Flash,Stabilization,8K video recording,4K video recording,1080p video recording,Angle of widest lens (°),Camera features,Aperture,Sensor size,Pixel size (micron),Autofocus,Front camera megapixels,Video resolution,Depth sensor (TOF 3D),NFC*,Infrared port,Number of SIM*,Type of SIM card,Multi SIM mode,eSIM support*,Hybrid slot,5G support,Speakers,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price ($),Bundled charger,LTE Cat*,Proximity sensor,Gyroscope,Accelerometer,Ambient light sensor,Compass,Fingerprint,Barometer,Hall,effect sensor,Face recognition sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
0,Infinix,726530,190308,208291,155891,172040,AMOLED,6.78,1080,2400,388,144,0,950.0,0,360.0, - DCI-P3 - Always-On Display - DC Dimming,164.5,75.0,7.9,185.0,IP53,Plastic,Plastic,"Yes, in-display",8.0,TSMC,6.0,1,726530,8,LPDDR4X,2133.0,2.0,256,UFS 3.1,No,1.0,5000,68.0,Li-Po,No,0,0,1,51.0,416.0,693.0,310.0,91.0,108.0,Digital,LED,Digital,No,Up to 60FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode,2.5,2.76,1.12,Phase autofocus,50.0,2160p (4K) at 60 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,Yes,No,Mid-range,356,310.0,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
1,Google,1152535,378836,371060,185462,217177,OLED,6.7,1344,2992,489,120,1,2400.0,1,, - DCI-P3 - Always-On Display,162.6,76.5,8.8,213.0,IP68,Glass,Metal,"Yes, in-display",,Samsung,4.0,1,1152535,12,LPDDR5X,4200.0,4.0,128,UFS 3.1,No,,5050,30.0,Li-Po,No,1,1,1,83.0,503.0,730.0,298.0,87.0,50.0,Digital,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,126.0, - Bokeh mode - Pro mode - RAW support,2.2,3.1,1.22,Phase autofocus,10.5,2160p (4K) at 60 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,No,No,No,Flagship,326,999.0,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
2,Xiaomi,419572,135496,64653,110036,109387,IPS LCD,6.58,1080,2408,401,90,0,500.0,0,240.0, - DCI-P3,163.99,76.09,8.9,201.0,IP52,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,419572,4,LPDDR4X,2133.0,2.0,64,UFS 2.2,MicroSD,2.0,5000,18.0,Li-Po,No,0,0,1,139.0,574.0,853.0,354.0,129.0,50.0,Digital,LED,Digital,No,No,Up to 30FPS,, - Bokeh mode - Pro mode,2.2,5.0,0.64,No,5.0,1080p (Full HD) at 30 FPS,No,Depends on the region,Yes,2,Nano,Standby,No,No,No,Mono,Yes,Yes,No,Mid-range,721,190.0,1,13,1,0,1,1,1,1,0,0,0,0,0,0,1
3,Xiaomi,785177,217516,233355,144938,199368,AMOLED,6.67,1080,2400,395,120,0,800.0,1,480.0, - DCI-P3 - Always-On Display - DC Dimming,164.1,76.9,8.8,203.0,IP53,Glass,Metal,"Yes, in-button",8.0,TSMC,6.0,1,785177,8,LPDDR4X,2133.0,2.0,128,UFS 3.1,No,3.0,5000,67.0,Li-Po,No,0,0,1,41.0,513.0,898.0,323.0,108.0,108.0,Digital,Dual LED,Digital,No,Up to 30FPS,Up to 60FPS,120.0, - Bokeh mode - Pro mode - RAW support,2.5,3.06,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,1056,500.0,0,18,1,1,1,1,1,1,1,0,0,0,0,1,0
4,Xiaomi,716770,209297,208395,135875,163203,AMOLED,6.67,1080,2340,386,90,0,800.0,1,180.0, - DCI-P3 - Always-On Display - DC Dimming,162.6,74.8,9.0,208.0,No,Glass,Metal,"Yes, in-display",4.0,TSMC,7.0,1,716770,8,LPDDR5,3200.0,2.0,128,UFS 3.0,No,3.0,4500,50.0,Li-Ion,No,1,1,1,75.0,491.0,740.0,289.0,98.0,108.0,Optical,LED,Digital,Up to 30FPS,Up to 60FPS,Up to 240FPS,117.0, - Bokeh mode - Pro mode - RAW support,2.0,3.0,0.9,No,20.0,1080p (Full HD) at 30 FPS,No,Yes,Yes,1,Nano,,No,No,Yes,Stereo,No,No,No,Flagship,1635,950.0,0,22,1,1,1,1,1,1,1,1,1,0,0,0,1
5,Xiaomi,1578468,388208,601455,302697,286108,AMOLED,6.67,1440,3200,526,120,1,4000.0,1,480.0, - DCI-P3 - Always-On Display - DC Dimming,160.86,74.95,8.21,209.0,No,Glass,Metal,"Yes, in-display",8.0,TSMC,4.0,1,1578468,12,LPDDR5X,4200.0,4.0,256,UFS 4.0,No,,5000,120.0,Li-Po,No,0,0,1,27.0,,,,,50.0,Digital,LED,Digital,Up to 24FPS,Up to 60FPS,Up to 60FPS,, - Bokeh mode - Pro mode,2.4,3.06,1.0,No,16.0,1080p (Full HD) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,265,475.0,1,20,1,1,1,1,1,1,0,0,0,0,0,1,0
6,Motorola,471522,155892,78906,106020,130704,IPS LCD,6.7,1080,2400,393,120,0,550.0,0,, - DCI-P3,167.2,76.4,8.5,201.0,Yes,Plastic,Plastic,"Yes, in-button",,TSMC,6.0,1,471522,8,LPDDR4X,2133.0,2.0,128,,MicroSD,,5000,30.0,Li-Po,No,1,0,1,,,,,,50.0,Digital,LED,Digital,No,No,Up to 30FPS,118.0, - Bokeh mode - Pro mode,2.4,,1.0,No,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,1,Nano,,Yes,No,Yes,Stereo,Yes,No,Yes,Mid-range,174,299.0,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
7,Honor,994058,272156,287990,211425,222487,OLED,6.73,1224,2688,439,120,1,600.0,1,, - DCI-P3 - Always-On Display - DC Dimming,161.4,75.5,7.8,191.0,No,Glass,Metal,"Yes, in-display",8.0,TSMC,4.0,1,994058,8,LPDDR5,,4.0,256,UFS 4.0,No,,5100,66.0,Li-Po,No,0,1,1,48.0,,,,,54.0,Optical,Dual LED,Digital,No,Up to 60FPS,Up to 60FPS,122.0, - Bokeh mode - Pro mode,2.0,2.5,,Phase autofocus,12.0,2160p (4K) at 60 FPS,No,Yes,Yes,2,Nano,Standby,No,No,Yes,Stereo,No,No,,Flagship,540,900.0,1,20,1,1,1,1,1,1,0,0,0,0,0,0,1
8,Samsung,305563,99296,66939,71542,67786,Super AMOLED,5.1,1440,2560,576,60,0,539.0,0,,,142.4,69.6,7.9,152.0,IP68,Glass,Metal,"Yes, in-button",,Samsung,14.0,0,305563,4,LPDDR4,1794.0,2.0,32,UFS 2.0,MicroSD,2.0,3000,15.0,Li-Ion,No,1,0,1,100.0,315.0,628.0,231.0,84.0,12.0,Digital,LED,Digital,No,Up to 30FPS,Up to 60FPS,, - Pro mode,1.7,4.1,1.34,No,5.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,Yes,No,Mono,Yes,No,No,Flagship,3096,700.0,0,9,1,1,1,1,1,1,1,0,0,0,0,0,1
9,OnePlus,937505,248662,308723,169685,210435,AMOLED,6.55,1080,2400,402,120,1,500.0,1,, - DCI-P3 - Always-On Display - DC Dimming,160.0,74.2,8.7,192.0,No,Glass,Plastic,"Yes, in-display",4.0,Samsung,5.0,1,937505,8,LPDDR5,2750.0,4.0,128,UFS 3.1,No,2.0,4500,65.0,Li-Po,No,1,0,1,29.0,472.0,704.0,272.0,96.0,48.0,Digital,Dual LED,Digital,Up to 30FPS,Up to 120FPS,Up to 60FPS,140.0, - Bokeh mode - Pro mode - RAW support,2.0,3.06,1.0,Phase autofocus,16.0,1080p (Full HD) at 30 FPS,No,Yes,No,2,Nano,Standby,No,No,Yes,Stereo,No,No,Yes,Flagship,1270,730.0,0,20,1,1,1,1,1,1,1,0,0,0,0,0,1
