,Unnamed: 0,Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Touch sampling rate,Height (mm),Width (mm),Thickness (mm),Weight (gr),Waterproof,Rear material,Frame material,Fingerprint scanner,L3 cache (mb),Manufacturing,Neural processor (NPU),Total score,RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Battery capacity (mAh),Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,Flash,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Launch price category,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,Speakers_Mono,Speakers_Stereo,LTE Cat*,Proximity sensor,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan
0,0,0,726530,190308,208291,155891,172040,0,6.78,1080,2400,388,144,0,950,0,360,164.5,75,7.9,185,3,1,1,1,8,3,1,726530,8,3,2,256,6,0,5000,68,0,0,108,0,1,0,2,2,2.5,2.76,1.12,50,0,1,0,1,0,1,356,1,4,2,1,1,0,1,0,1,20,1,1,1,0,0,0,0,0,1
1,1,1,1152535,378836,371060,185462,217177,1,6.7,1344,2992,489,120,1,2400,1,120,162.6,76.5,8.8,213,8,2,2,1,0,2,1,1152535,12,5,4,128,6,0,5050,30,1,1,50,0,2,0,2,2,2.2,3.1,1.22,10.5,1,1,0,0,0,2,326,3,4,2,1,1,1,1,0,1,20,1,1,1,1,0,0,0,0,1
2,2,2,419572,135496,64653,110036,109387,2,6.58,1080,2408,401,90,0,500,0,240,163.99,76.09,8.9,201,2,1,1,2,0,3,1,419572,4,3,2,64,4,1,5000,18,0,0,50,0,1,0,0,1,2.2,5,0.64,5,0,0,1,1,0,1,721,0,2,1,1,1,0,0,1,0,13,1,0,1,0,0,0,0,0,1
3,3,2,785177,217516,233355,144938,199368,0,6.67,1080,2400,395,120,0,800,1,480,164.1,76.9,8.8,203,3,2,2,2,8,3,1,785177,8,3,2,128,6,0,5000,67,0,0,108,0,2,0,1,2,2.5,3.06,1,16,0,1,0,0,1,2,1056,1,2,1,1,1,1,0,0,1,18,1,1,1,1,0,0,0,1,0
4,4,2,716770,209297,208395,135875,163203,0,6.67,1080,2340,386,90,0,800,1,180,162.6,74.8,9,208,0,2,2,1,4,3,1,716770,8,4,2,128,5,0,4500,50,1,1,108,1,1,2,2,4,2,3,0.9,20,0,1,0,0,0,2,1635,3,2,1,1,1,1,0,0,1,22,1,1,1,1,1,1,0,0,1
5,5,2,1578468,388208,601455,302697,286108,0,6.67,1440,3200,526,120,1,4000,1,480,160.86,74.95,8.21,209,0,2,2,1,8,3,1,1578468,12,5,4,256,7,0,5000,120,0,0,50,0,1,1,2,2,2.4,3.06,1,16,0,1,0,0,1,2,265,1,2,2,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
6,6,3,471522,155892,78906,106020,130704,2,6.7,1080,2400,393,120,0,550,0,120,167.2,76.4,8.5,201,1,1,1,2,0,3,1,471522,8,3,2,128,6,1,5000,30,1,0,50,0,1,0,0,1,2.4,3.003953901,1,16,1,1,1,0,1,1,174,1,2,1,1,1,0,0,0,1,20,1,1,1,1,0,0,0,0,1
7,7,4,994058,272156,287990,211425,222487,1,6.73,1224,2688,439,120,1,600,1,120,161.4,75.5,7.8,191,0,2,2,1,8,3,1,994058,8,4,4,256,7,0,5100,66,0,1,54,1,2,0,2,2,2,2.5,0.9680385288966724,12,0,1,0,0,1,2,540,3,4,2,1,1,0,1,0,1,20,1,1,1,0,0,0,0,0,1
8,8,5,305563,99296,66939,71542,67786,3,5.1,1440,2560,576,60,0,539,0,120,142.4,69.6,7.9,152,8,2,2,2,0,2,0,305563,4,2,2,32,2,1,3000,15,1,0,12,0,1,0,1,2,1.7,4.1,1.34,5,0,0,1,0,0,2,3096,2,2,1,0,1,0,0,1,0,9,1,1,1,1,0,0,0,0,1
9,9,6,937505,248662,308723,169685,210435,0,6.55,1080,2400,402,120,1,500,1,120,160,74.2,8.7,192,0,2,1,1,4,2,1,937505,8,4,4,128,6,0,4500,65,1,0,48,0,2,2,3,2,2,3.06,1,16,0,1,0,0,1,2,1270,2,2,1,1,1,1,1,0,1,20,1,1,1,1,0,0,0,0,1
10,10,2,748133,229256,194210,143156,161454,2,6.67,1080,2400,395,144,0,620,1,120,165.1,76.4,9.3,216,0,2,2,2,4,3,1,728076,6,4,2,128,6,0,5000,33,0,0,64,0,1,2,2,2,2.2,3.4,0.8,20,0,1,0,0,1,2,1360,1,2,1,1,1,1,0,0,1,22,1,1,1,1,0,0,0,0,1
11,11,0,432734,132866,66358,115800,117710,0,6.78,1080,2436,393,120,0,1300,0,360,163.6,74.6,7.75,190,4,1,1,1,0,3,1,432734,8,3,2,256,4,1,5000,70,1,1,108,0,4,0,0,2,2.2,3.1,0.7,32,0,0,0,1,0,1,174,0,2,2,1,1,0,0,0,1,20,1,1,1,0,0,0,0,0,1
12,12,6,1274282,361831,492051,180840,239560,0,6.7,1080,2412,394,120,1,600,1,720,163,75.4,8.75,203.5,4,2,1,1,6,3,1,1274282,8,4,4,128,6,0,4800,150,0,0,50,0,1,0,2,2,2.4,3.1,1,16,0,1,0,0,1,2,752,2,2,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
13,13,2,1532713,374482,602314,282144,273773,1,6.67,1440,3200,526,120,0,600,1,480,162.78,75.44,8.59,205,0,2,2,1,8,3,1,1532713,8,5,4,128,7,0,5000,120,1,0,54,0,2,1,2,2,2.4,3.06,1,16,0,1,0,0,1,2,599,,2,2,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
14,14,4,2088059,463660,902889,387761,334649,1,6.8,1280,2800,453,120,1,5000,1,360,162.5,75.8,8.9,225,8,2,2,1,12,3,1,2088059,12,5,4,256,7,0,5600,80,1,1,50,0,1,0,2,2,2,2.51,0.64,50,1,1,0,0,1,2,234,3,4,1,1,1,0,0,0,1,20,1,1,1,0,0,0,0,1,0
15,15,4,1527105,382143,618652,278662,247648,1,6.78,1224,2700,437,120,0,2600,1,120,163.7,74.7,8.2,195,0,0,0,1,8,3,1,1527105,12,5,4,256,7,0,5000,100,1,1,50,1,1,0,2,2,2,2.51,0.64,50,0,1,0,0,1,2,295,1,4,1,1,1,0,1,0,1,20,1,1,1,0,0,0,0,1,0
