Brand,Total Score,CPU,GPU,Memory,UX,Type,Display Size,Pixels_X,Pixels_Y,PPI,Refresh rate,Adaptive refresh rate,Max rated brightness,HDR support,Width (mm),Thickness (mm),Weight (gr),Waterproof,Frame material,Fingerprint scanner,L3 cache (mb),Lithography process (nm),RAM size (GB),Memory type,Channels,Storage size (GB),Storage type,Memory card,Max charge power,Wireless charging,Reverse charging,Matrix (megapixels),Zoom,8K video recording,4K video recording,1080p video recording,Aperture,Sensor size,Pixel size (micron),Front camera megapixels,eSIM support*,5G support,Headphone audio jack,FM radio,Dolby Atmos,Category,Phone age in days,Video resolution_p,Video resolution_FPS,Bokeh mode,Pro mode,RAW support,Autofocus_Phase autofocus,LTE Cat*,Gyroscope,Compass,Barometer,Hall,effect sensor,Advanced cooling_Active fan,Advanced cooling_Vapor chamber,Advanced cooling_nan,Always-On Display,DC Dimming,DCI-P3,Speakers,Launch price category
5,1541246,371084,600732,299004,270462,5,6.8,1440,3088,500,120,1,850,1,78.1,8.9,233.0,8,2,1,8,4,8,5,4,256,7,0,45,1,1,200,0,2,2,3,2.2,3.24,1.12,12.0,1,1,0,0,1,2,568,4,2,1,1,1,1,20,1,1,1,1,1,0,1,0,1,0,1,1.0,4.0
5,537067,173403,112518,112340,138806,3,6.7,1080,2408,394,120,0,400,0,77.0,7.4,176.0,0,1,2,2,6,6,3,2,128,3,1,25,0,0,108,0,0,1,2,2.2,4.0,1.12,32.0,0,1,0,1,1,1,874,4,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,1,0.0,1.0
2,953440,252004,295658,177263,228515,0,6.67,1080,2400,395,120,0,500,1,76.9,8.8,204.0,3,2,2,4,5,8,4,4,128,6,0,120,0,0,108,0,2,2,2,2.5,3.06,1.0,16.0,0,1,0,0,1,2,1086,2,2,1,1,1,0,18,1,1,1,0,0,0,0,1,1,1,1,1.0,2.0
14,317925,111183,39950,82903,83889,3,6.4,1080,2400,411,90,0,430,0,73.3,7.99,178.0,4,1,1,0,6,6,3,2,128,4,1,33,0,0,108,0,0,0,1,2.1,3.13,1.0,16.0,0,0,1,0,1,1,874,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,1,0.0,1.0
0,515609,166403,88444,128743,132019,8,6.78,1080,2460,388,120,0,500,0,76.53,8.77,199.0,0,1,2,2,6,8,4,2,128,6,1,33,0,0,48,1,0,1,2,2.0,2.76,1.12,16.0,0,1,1,1,1,1,905,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,0,0,1,0.0,1.0
0,464375,141916,81456,110037,130966,0,6.78,1080,2436,393,120,0,1300,0,74.6,7.75,196.0,3,1,1,0,6,12,3,2,256,4,1,100,1,1,108,0,0,0,2,2.2,3.1,0.8,32.0,0,0,0,1,0,1,174,2,2,1,1,0,0,20,1,1,0,0,0,0,0,1,1,0,1,1.0,1.0
6,1245923,358243,476755,174663,236262,3,6.74,1240,2772,451,120,1,500,1,74.43,8.7,204.0,0,1,1,6,4,8,5,4,128,6,0,100,0,0,50,0,0,2,2,2.4,3.09,1.0,16.0,0,1,0,0,1,2,568,2,1,1,1,0,0,18,1,1,0,0,0,0,1,0,1,1,1,1.0,1.0
2,454863,146064,100468,93251,115080,0,6.57,1080,2400,401,60,0,600,1,74.8,7.9,192.0,0,1,1,0,7,6,3,2,128,3,0,20,0,0,48,0,0,1,2,2.5,5.0,1.0,16.0,0,1,1,1,0,1,1513,2,1,1,1,0,0,20,1,1,0,0,0,0,0,1,1,1,0,0.0,1.0
5,737495,208809,204264,140912,183510,5,7.6,1768,2208,373,120,1,700,1,128.2,6.9,279.0,0,2,2,4,7,12,4,4,256,6,0,25,1,1,12,1,0,2,2,2.2,3.2,1.22,10.0,1,1,0,0,1,2,1451,4,1,1,1,1,1,20,1,1,1,1,1,0,0,1,1,0,1,1.0,6.0
3,1302183,340105,482159,225387,254532,1,6.67,1080,2400,394,144,0,600,1,73.5,8.39,198.5,2,2,1,6,4,8,4,4,128,6,0,125,1,1,200,1,2,2,2,2.2,2.8,0.61,60.0,0,1,0,0,1,2,721,4,1,1,1,1,0,20,1,1,0,0,0,0,1,0,1,1,1,1.0,3.0
4,412091,124245,82760,92221,112865,0,6.67,1080,2400,395,120,0,800,0,73.9,7.9,175.0,0,1,1,0,6,6,3,2,128,4,0,40,0,0,64,0,0,0,1,2.5,3.00395390070922,0.8,16.0,0,1,0,0,0,1,599,2,1,1,1,0,0,18,1,1,0,0,0,0,0,1,1,1,1,0.0,1.0
8,1529697,384073,592577,274819,278228,0,6.8,1116,2480,400,120,0,500,1,76.35,9.47,228.0,0,2,1,8,4,8,5,4,128,7,0,65,0,0,50,0,2,2,2,2.0,2.8,1.12,16.0,0,1,1,0,0,2,630,2,2,1,1,0,0,20,1,1,0,0,0,1,0,0,1,1,1,1.0,2.0
11,160018,52127,21821,48039,38031,2,6.6,720,1612,267,90,0,400,0,75.39,8.4,202.0,0,1,2,0,12,8,3,2,128,1,1,18,0,0,50,0,0,0,1,2.0,3.00395390070922,0.9680385288966724,8.0,0,0,1,1,0,0,509,2,1,1,1,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0
1,907387,257861,279144,157307,213075,0,6.3,1080,2400,416,90,0,450,1,73.2,8.7,197.0,8,2,1,4,5,8,4,4,128,6,0,20,1,1,50,0,0,2,2,2.2,3.1,1.22,10.8,1,1,0,0,0,2,691,4,2,1,1,1,0,20,1,1,1,0,0,0,0,1,1,0,1,1.0,2.0
1,931591,258023,313582,144037,215949,1,6.7,1440,3120,512,120,1,500,1,75.9,8.9,210.0,8,2,1,4,5,12,4,4,128,6,0,30,1,1,50,1,0,2,2,2.0,2.9,1.22,11.1,1,1,0,0,1,2,1056,4,1,1,1,1,0,20,1,1,1,0,0,0,0,1,1,0,1,1.0,3.0
15,1215755,325882,426064,214511,249298,3,5.9,1080,2400,445,120,0,800,1,68.1,9.1,169.0,8,2,2,6,4,8,4,4,128,6,0,30,0,1,50,0,1,3,2,2.5,2.93,1.22,12.0,0,1,1,0,0,2,752,4,1,1,1,1,0,20,1,1,0,1,1,0,0,1,1,1,1,1.0,3.0
2,748133,229256,194210,143156,161454,2,6.67,1080,2400,395,144,0,620,1,76.4,9.3,216.0,0,2,2,4,7,6,4,2,128,6,0,33,0,0,64,0,2,2,2,2.2,3.4,0.8,20.0,0,1,0,0,1,2,1360,2,1,1,1,1,0,22,1,1,1,0,0,0,0,1,0,0,1,1.0,1.0
